VesselID,Date,Terminal,ShippingLine,VesselType,Route,ArrivalHour,TurnaroundHrs,DepartureHour,TEUCapacity,TEULoaded,UtilisationRate
V01797,2023-01-30,Keppel,Hapag-Lloyd,Tanker,Singapore–Middle East,7,16.4,23,24000,11213,0.467
V01798,2023-01-30,Tanjong Pagar,PIL,Container,Singapore–SE Asia,2,18.4,20,12000,9091,0.758
V01799,2023-01-30,Pasir Panjang T1-2,CMA CGM,Bulk Carrier,Singapore–Korea,0,22.2,22,24000,17617,0.734
V01800,2023-01-30,Pasir Panjang T1-2,MSC,Container,Singapore–India,19,33.2,4,12000,10099,0.842
V01801,2023-01-30,Pasir Panjang T3-4,COSCO,Container,Singapore–US East,12,29.0,17,14500,19507,1.0
V01802,2023-01-30,Tanjong Pagar,Evergreen,Bulk Carrier,Singapore–China,12,28.7,16,8000,10484,1.0
V01803,2023-01-30,Keppel,Maersk,Container,Singapore–Europe,20,16.0,12,12000,10576,0.881
V01804,2023-01-30,Keppel,Yang Ming,Bulk Carrier,Singapore–SE Asia,1,19.4,20,20000,9501,0.475
V01805,2023-01-30,Tanjong Pagar,Hapag-Lloyd,General Cargo,Singapore–Middle East,17,37.9,6,12000,10789,0.899
V01806,2023-01-30,Brani,MSC,Container,Singapore–Europe,20,29.3,1,14500,18398,1.0
V01807,2023-01-30,Brani,ONE,Container,Singapore–US West,14,21.5,11,12000,22932,1.0
V01808,2023-01-30,Brani,MSC,General Cargo,Singapore–India,15,29.9,20,24000,6766,0.282
V01809,2023-01-30,Brani,Hapag-Lloyd,Tanker,Singapore–US West,18,33.2,3,24000,6496,0.271
V01810,2023-01-30,Tanjong Pagar,Hapag-Lloyd,Container,Singapore–Europe,14,16.1,6,14500,20881,1.0
V01811,2023-01-30,Tuas,Yang Ming,Tanker,Singapore–Korea,9,34.3,19,20000,5463,0.273
V01812,2023-01-30,Pasir Panjang T1-2,MSC,Container,Singapore–India,12,13.5,1,24000,17914,0.746
V01813,2023-01-30,Tuas,PIL,Container,Singapore–SE Asia,11,35.2,22,24000,7385,0.308
V01814,2023-01-30,Tuas,MSC,RORO,Singapore–Europe,18,15.0,9,8000,6295,0.787
V01815,2023-01-30,Brani,MSC,General Cargo,Singapore–US West,6,12.5,18,24000,7556,0.315
V01816,2023-01-31,Pasir Panjang T3-4,Evergreen,Container,Singapore–India,5,23.1,4,20000,19380,0.969
V01817,2023-01-31,Pasir Panjang T3-4,HMM,Container,Singapore–US West,12,22.1,10,12000,9907,0.826
V01818,2023-01-31,Pasir Panjang T3-4,Maersk,Container,Singapore–Japan,10,26.2,12,12000,5528,0.461
V01819,2023-01-31,Tuas,CMA CGM,Tanker,Singapore–Japan,3,26.8,5,20000,15938,0.797
V01820,2023-01-31,Keppel,HMM,Tanker,Singapore–US East,3,22.4,1,12000,10811,0.901
V01821,2023-01-31,Tanjong Pagar,COSCO,Container,Singapore–Korea,6,15.5,21,14500,5864,0.404
V01822,2023-01-31,Tanjong Pagar,Yang Ming,Container,Singapore–SE Asia,19,25.6,20,24000,7426,0.309
V01823,2023-01-31,Tanjong Pagar,MSC,Container,Singapore–SE Asia,4,12.9,16,24000,7296,0.304
V01824,2023-01-31,Pasir Panjang T1-2,HMM,Tanker,Singapore–US West,11,18.3,5,20000,5710,0.286
V01825,2023-01-31,Tanjong Pagar,MSC,Container,Singapore–Korea,14,27.8,17,14500,6687,0.461
V01826,2023-01-31,Tanjong Pagar,Hapag-Lloyd,Container,Singapore–India,15,15.6,6,14500,22132,1.0
V01827,2023-01-31,Pasir Panjang T3-4,CMA CGM,Container,Singapore–Korea,10,37.1,23,8000,10249,1.0
V01828,2023-01-31,Pasir Panjang T1-2,Evergreen,RORO,Singapore–US East,2,21.9,23,14500,13067,0.901
V01829,2023-01-31,Brani,Hapag-Lloyd,Container,Singapore–Japan,9,15.4,0,12000,6285,0.524
V01830,2023-01-31,Tanjong Pagar,PIL,Container,Singapore–China,16,20.9,12,14500,8178,0.564
V01831,2023-01-31,Tuas,MSC,Bulk Carrier,Singapore–US East,12,15.0,3,12000,15128,1.0
V01832,2023-01-31,Keppel,CMA CGM,Container,Singapore–Korea,7,18.4,1,24000,6472,0.27
V01833,2023-01-31,Pasir Panjang T3-4,Yang Ming,Bulk Carrier,Singapore–China,4,16.1,20,12000,17370,1.0
V01834,2023-01-31,Brani,Yang Ming,Tanker,Singapore–Korea,18,20.5,14,20000,21337,1.0
V01835,2023-01-31,Keppel,HMM,Container,Singapore–US West,8,19.4,3,14500,10041,0.692
V01836,2023-01-31,Keppel,MSC,Bulk Carrier,Singapore–Middle East,0,36.2,12,24000,10145,0.423
V01837,2023-01-31,Keppel,ONE,Container,Singapore–SE Asia,21,29.0,2,24000,10590,0.441
V01838,2023-01-31,Pasir Panjang T1-2,Hapag-Lloyd,Container,Singapore–US West,23,23.0,22,20000,14025,0.701
V01839,2023-02-01,Pasir Panjang T3-4,COSCO,Container,Singapore–China,14,21.7,11,8000,9996,1.0
V01840,2023-02-01,Pasir Panjang T3-4,ONE,Tanker,Singapore–China,14,17.2,7,20000,15122,0.756
V01841,2023-02-01,Pasir Panjang T1-2,ONE,Container,Singapore–Japan,18,33.8,3,8000,16418,1.0
V01842,2023-02-01,Tanjong Pagar,Evergreen,Container,Singapore–Korea,2,32.5,10,14500,7736,0.534
V01843,2023-02-01,Pasir Panjang T1-2,Evergreen,Container,Singapore–US East,10,26.5,12,8000,10517,1.0
V01844,2023-02-01,Brani,CMA CGM,Tanker,Singapore–India,1,12.8,13,8000,10769,1.0
V01845,2023-02-01,Brani,Hapag-Lloyd,Container,Singapore–SE Asia,15,18.4,9,14500,10580,0.73
V01846,2023-02-01,Keppel,Evergreen,Container,Singapore–US East,12,23.6,11,14500,10473,0.722
V01847,2023-02-01,Pasir Panjang T1-2,MSC,Container,Singapore–US East,15,24.6,15,14500,11683,0.806
V01848,2023-02-01,Tuas,Evergreen,Container,Singapore–US West,23,33.3,8,12000,14035,1.0
V01849,2023-02-01,Brani,ONE,Bulk Carrier,Singapore–Korea,19,33.8,4,20000,10605,0.53
V01850,2023-02-01,Tanjong Pagar,Yang Ming,Container,Singapore–US East,4,16.3,20,24000,11513,0.48
V01851,2023-02-01,Pasir Panjang T1-2,COSCO,Container,Singapore–India,5,33.7,14,14500,9402,0.648
V01852,2023-02-01,Tuas,PIL,Container,Singapore–Korea,13,28.9,17,14500,6009,0.414
V01853,2023-02-01,Tuas,MSC,Tanker,Singapore–Middle East,10,13.4,23,14500,7385,0.509
V01854,2023-02-01,Tanjong Pagar,HMM,Container,Singapore–Japan,3,13.0,16,14500,14883,1.0
V01855,2023-02-01,Pasir Panjang T1-2,Maersk,Tanker,Singapore–SE Asia,19,12.9,7,12000,6962,0.58
V01856,2023-02-01,Pasir Panjang T3-4,Maersk,Container,Singapore–Middle East,10,32.0,18,12000,16923,1.0
V01857,2023-02-01,Tuas,Hapag-Lloyd,General Cargo,Singapore–US East,4,25.1,5,12000,13605,1.0
V01858,2023-02-01,Pasir Panjang T3-4,PIL,General Cargo,Singapore–SE Asia,21,35.6,8,8000,10930,1.0
V01859,2023-02-01,Pasir Panjang T3-4,ONE,General Cargo,Singapore–Japan,22,19.3,17,12000,19797,1.0
V01860,2023-02-01,Pasir Panjang T1-2,MSC,Container,Singapore–China,14,30.8,20,20000,7408,0.37
V01861,2023-02-01,Brani,Yang Ming,Tanker,Singapore–China,0,16.1,16,24000,5794,0.241
V01862,2023-02-01,Pasir Panjang T3-4,Hapag-Lloyd,Tanker,Singapore–Japan,0,25.8,1,14500,20498,1.0
V01863,2023-02-01,Keppel,COSCO,Container,Singapore–SE Asia,5,34.5,15,14500,17602,1.0
V01864,2023-02-01,Tuas,Hapag-Lloyd,Container,Singapore–India,17,22.5,15,14500,11492,0.793
V01865,2023-02-01,Pasir Panjang T1-2,Evergreen,Container,Singapore–US East,11,31.4,18,14500,11276,0.778
V01866,2023-02-02,Pasir Panjang T1-2,PIL,Tanker,Singapore–Korea,17,34.7,3,12000,11054,0.921
V01867,2023-02-02,Tuas,Evergreen,Container,Singapore–Middle East,15,36.8,3,20000,18080,0.904
V01868,2023-02-02,Pasir Panjang T1-2,COSCO,Container,Singapore–US West,22,31.8,5,24000,11239,0.468
V01869,2023-02-02,Brani,HMM,Container,Singapore–India,22,25.2,23,8000,16616,1.0
V01870,2023-02-02,Brani,PIL,Container,Singapore–US West,3,34.6,13,12000,10085,0.84
V01871,2023-02-02,Tanjong Pagar,CMA CGM,General Cargo,Singapore–China,16,34.9,2,12000,15248,1.0
V01872,2023-02-02,Pasir Panjang T1-2,ONE,Container,Singapore–Japan,4,19.7,23,24000,12827,0.534
V01873,2023-02-02,Tanjong Pagar,Evergreen,Container,Singapore–Middle East,20,29.1,1,8000,18239,1.0
V01874,2023-02-02,Tanjong Pagar,COSCO,Container,Singapore–Europe,3,37.4,16,14500,15449,1.0
V01875,2023-02-02,Keppel,Maersk,Tanker,Singapore–Middle East,3,27.6,6,14500,6731,0.464
V01876,2023-02-02,Pasir Panjang T1-2,COSCO,Container,Singapore–Europe,19,16.2,11,8000,10678,1.0
V01877,2023-02-02,Tanjong Pagar,MSC,Bulk Carrier,Singapore–Europe,17,37.0,6,8000,8222,1.0
V01878,2023-02-02,Brani,Evergreen,Bulk Carrier,Singapore–Korea,18,23.3,17,24000,6483,0.27
V01879,2023-02-02,Keppel,ONE,Container,Singapore–Middle East,4,34.8,14,20000,12675,0.634
V01880,2023-02-02,Brani,PIL,Container,Singapore–China,18,14.1,8,12000,9784,0.815
V01881,2023-02-02,Tuas,Hapag-Lloyd,Container,Singapore–US West,3,22.7,1,14500,20490,1.0
V01882,2023-02-02,Pasir Panjang T1-2,HMM,Tanker,Singapore–US East,9,25.2,10,12000,11941,0.995
V01883,2023-02-02,Pasir Panjang T3-4,HMM,Container,Singapore–Japan,21,33.8,6,8000,7041,0.88
V01884,2023-02-02,Pasir Panjang T1-2,COSCO,Container,Singapore–Middle East,11,29.8,16,8000,9868,1.0
V01885,2023-02-02,Brani,PIL,Container,Singapore–Middle East,6,29.3,11,8000,16560,1.0
V01886,2023-02-03,Pasir Panjang T3-4,CMA CGM,Tanker,Singapore–Middle East,22,31.2,5,12000,12197,1.0
V01887,2023-02-03,Tuas,CMA CGM,RORO,Singapore–Japan,8,31.1,15,24000,6371,0.265
V01888,2023-02-03,Pasir Panjang T1-2,PIL,Container,Singapore–China,18,26.8,20,8000,10910,1.0
V01889,2023-02-03,Brani,CMA CGM,Tanker,Singapore–China,11,21.0,8,14500,18637,1.0
V01890,2023-02-03,Pasir Panjang T3-4,PIL,Container,Singapore–China,0,35.1,11,20000,8231,0.412
V01891,2023-02-03,Tuas,CMA CGM,Tanker,Singapore–SE Asia,8,29.3,13,8000,7407,0.926
V01892,2023-02-03,Tanjong Pagar,Evergreen,Container,Singapore–US East,15,24.3,15,14500,7562,0.522
V01893,2023-02-03,Keppel,Hapag-Lloyd,Tanker,Singapore–Europe,6,34.8,16,8000,11440,1.0
V01894,2023-02-03,Tanjong Pagar,Hapag-Lloyd,Tanker,Singapore–China,16,27.0,19,8000,8784,1.0
V01895,2023-02-03,Pasir Panjang T3-4,MSC,Tanker,Singapore–Korea,4,24.2,4,20000,8892,0.445
V01896,2023-02-03,Keppel,PIL,Container,Singapore–Korea,1,23.7,0,12000,6234,0.52
V01897,2023-02-03,Tuas,COSCO,Container,Singapore–US East,4,12.7,16,8000,11012,1.0
V01898,2023-02-03,Tuas,Yang Ming,Container,Singapore–India,7,13.3,20,8000,17175,1.0
V01899,2023-02-03,Pasir Panjang T1-2,Hapag-Lloyd,Tanker,Singapore–Europe,0,31.3,7,12000,18953,1.0
V01900,2023-02-03,Pasir Panjang T1-2,CMA CGM,Container,Singapore–China,16,34.0,2,14500,21342,1.0
V01901,2023-02-03,Keppel,HMM,Tanker,Singapore–Korea,7,18.2,1,8000,5811,0.726
V01902,2023-02-03,Brani,HMM,Tanker,Singapore–SE Asia,10,15.8,1,12000,11762,0.98
V01903,2023-02-03,Brani,MSC,Container,Singapore–Korea,2,36.6,14,20000,16936,0.847
V01904,2023-02-03,Pasir Panjang T1-2,ONE,Tanker,Singapore–China,14,35.4,1,14500,10405,0.718
V01905,2023-02-04,Brani,MSC,Tanker,Singapore–US West,10,28.2,14,14500,23000,1.0
V01906,2023-02-04,Brani,ONE,Container,Singapore–Middle East,19,27.6,22,12000,10941,0.912
V01907,2023-02-04,Pasir Panjang T1-2,HMM,Container,Singapore–Japan,0,37.1,13,20000,10571,0.529
V01908,2023-02-04,Brani,PIL,Container,Singapore–Korea,10,32.9,18,20000,9090,0.454
V01909,2023-02-04,Brani,Hapag-Lloyd,Container,Singapore–China,2,22.2,0,24000,8716,0.363
V01910,2023-02-04,Pasir Panjang T3-4,ONE,Container,Singapore–Japan,17,14.7,7,14500,5463,0.377
V01911,2023-02-04,Brani,Evergreen,Container,Singapore–India,17,18.7,11,8000,17192,1.0
V01912,2023-02-04,Keppel,PIL,Container,Singapore–US East,9,34.1,19,14500,18222,1.0
V01913,2023-02-04,Keppel,ONE,RORO,Singapore–China,0,23.1,23,24000,16981,0.708
V01914,2023-02-04,Brani,ONE,Container,Singapore–Middle East,4,30.2,10,20000,20352,1.0
V01915,2023-02-04,Keppel,Evergreen,Tanker,Singapore–Europe,19,18.8,13,12000,15838,1.0
V01916,2023-02-04,Pasir Panjang T1-2,Hapag-Lloyd,Container,Singapore–Europe,0,33.3,9,20000,14179,0.709
V01917,2023-02-04,Tanjong Pagar,PIL,Container,Singapore–Korea,1,12.7,13,20000,19337,0.967
V01918,2023-02-04,Pasir Panjang T1-2,CMA CGM,Container,Singapore–India,16,25.7,17,8000,13891,1.0
V01919,2023-02-04,Pasir Panjang T1-2,Evergreen,Tanker,Singapore–US East,18,23.0,17,12000,7411,0.618
V01920,2023-02-04,Tuas,Yang Ming,Container,Singapore–Japan,6,30.6,12,8000,7399,0.925
V01921,2023-02-04,Tanjong Pagar,ONE,Container,Singapore–India,8,20.3,4,20000,14395,0.72
V01922,2023-02-04,Brani,ONE,Container,Singapore–China,10,35.2,21,14500,18748,1.0
V01923,2023-02-04,Brani,Hapag-Lloyd,Container,Singapore–US East,14,33.4,23,8000,22486,1.0
V01924,2023-02-04,Brani,Hapag-Lloyd,Container,Singapore–India,13,24.4,13,8000,22014,1.0
V01925,2023-02-04,Brani,Yang Ming,Container,Singapore–US West,10,19.3,5,14500,16828,1.0
V01926,2023-02-04,Tuas,Evergreen,Container,Singapore–Korea,5,28.2,9,12000,11937,0.995
V01927,2023-02-04,Brani,Hapag-Lloyd,Container,Singapore–SE Asia,4,25.8,5,8000,7426,0.928
V01928,2023-02-04,Tuas,Maersk,Tanker,Singapore–SE Asia,7,28.4,11,20000,18475,0.924
V01929,2023-02-04,Pasir Panjang T1-2,HMM,Container,Singapore–US West,15,23.7,14,12000,10403,0.867
V01930,2023-02-04,Keppel,COSCO,Container,Singapore–China,10,22.1,8,8000,16952,1.0
V01931,2023-02-04,Pasir Panjang T1-2,Yang Ming,Tanker,Singapore–Japan,19,26.1,21,14500,7706,0.531
V01932,2023-02-04,Tanjong Pagar,CMA CGM,Container,Singapore–Japan,0,27.5,3,12000,11382,0.948
V01933,2023-02-05,Tanjong Pagar,Maersk,Container,Singapore–US West,18,14.5,8,20000,16650,0.832
V01934,2023-02-05,Brani,ONE,Container,Singapore–China,2,12.4,14,20000,13686,0.684
V01935,2023-02-05,Brani,Maersk,Tanker,Singapore–US East,20,32.8,4,14500,18013,1.0
V01936,2023-02-05,Tanjong Pagar,Hapag-Lloyd,Bulk Carrier,Singapore–SE Asia,6,35.7,17,12000,6931,0.578
V01937,2023-02-05,Pasir Panjang T3-4,Evergreen,Container,Singapore–China,8,33.3,17,12000,20377,1.0
V01938,2023-02-05,Brani,PIL,Container,Singapore–Japan,21,25.4,22,12000,10066,0.839
V01939,2023-02-05,Brani,Yang Ming,Container,Singapore–SE Asia,12,21.9,9,20000,10115,0.506
V01940,2023-02-05,Pasir Panjang T1-2,Hapag-Lloyd,Tanker,Singapore–Middle East,2,23.8,1,20000,11104,0.555
V01941,2023-02-05,Brani,COSCO,Bulk Carrier,Singapore–Europe,18,30.6,0,20000,12195,0.61
V01942,2023-02-05,Pasir Panjang T3-4,MSC,Container,Singapore–India,23,26.4,1,14500,10470,0.722
V01943,2023-02-05,Brani,COSCO,Tanker,Singapore–Middle East,20,35.0,7,14500,19110,1.0
V01944,2023-02-05,Brani,Yang Ming,Container,Singapore–China,20,16.4,12,12000,14213,1.0
V01945,2023-02-05,Pasir Panjang T1-2,MSC,Container,Singapore–Europe,9,28.5,13,8000,11532,1.0
V01946,2023-02-05,Pasir Panjang T1-2,PIL,Container,Singapore–Middle East,23,24.7,23,14500,16838,1.0
V01947,2023-02-05,Tanjong Pagar,HMM,Tanker,Singapore–Middle East,15,28.1,19,14500,6874,0.474
V01948,2023-02-05,Keppel,PIL,Container,Singapore–US East,19,22.4,17,8000,10373,1.0
V01949,2023-02-05,Tuas,HMM,General Cargo,Singapore–China,21,30.3,3,20000,9340,0.467
V01950,2023-02-05,Pasir Panjang T1-2,Maersk,Container,Singapore–SE Asia,18,17.8,11,12000,11478,0.956
V01951,2023-02-05,Tuas,COSCO,Container,Singapore–US East,20,30.4,2,8000,15554,1.0
V01952,2023-02-05,Keppel,COSCO,Container,Singapore–US East,4,17.6,21,12000,11312,0.943
V01953,2023-02-05,Tanjong Pagar,COSCO,Container,Singapore–US East,2,25.7,3,14500,10042,0.693
V01954,2023-02-05,Pasir Panjang T1-2,Hapag-Lloyd,Bulk Carrier,Singapore–US East,16,29.7,21,14500,6252,0.431
V01955,2023-02-05,Keppel,Hapag-Lloyd,Container,Singapore–Middle East,10,12.7,22,20000,17076,0.854
V01956,2023-02-06,Tuas,Maersk,RORO,Singapore–Japan,15,22.3,13,20000,19282,0.964
V01957,2023-02-06,Pasir Panjang T3-4,Evergreen,Bulk Carrier,Singapore–SE Asia,6,27.8,9,14500,8381,0.578
V01958,2023-02-06,Pasir Panjang T3-4,MSC,RORO,Singapore–Europe,5,16.0,21,14500,6836,0.471
V01959,2023-02-06,Pasir Panjang T1-2,Yang Ming,Tanker,Singapore–India,22,21.4,19,24000,9822,0.409
V01960,2023-02-06,Pasir Panjang T1-2,HMM,General Cargo,Singapore–Japan,19,31.4,2,20000,10759,0.538
V01961,2023-02-06,Keppel,Evergreen,Tanker,Singapore–Middle East,14,29.3,19,24000,18751,0.781
V01962,2023-02-06,Tanjong Pagar,Yang Ming,Tanker,Singapore–SE Asia,15,19.3,10,8000,16036,1.0
V01963,2023-02-06,Brani,CMA CGM,Container,Singapore–Europe,12,20.7,8,14500,18470,1.0
V01964,2023-02-06,Tanjong Pagar,Evergreen,Bulk Carrier,Singapore–Middle East,23,18.3,17,12000,17334,1.0
V01965,2023-02-06,Tanjong Pagar,HMM,Container,Singapore–SE Asia,16,35.5,3,24000,10624,0.443
V01966,2023-02-06,Tuas,CMA CGM,Container,Singapore–SE Asia,11,26.3,13,20000,17796,0.89
V01967,2023-02-06,Tuas,HMM,Bulk Carrier,Singapore–Korea,17,30.6,23,20000,17149,0.857
V01968,2023-02-06,Tuas,Maersk,Container,Singapore–India,15,30.6,21,24000,11393,0.475
V01969,2023-02-06,Keppel,COSCO,Bulk Carrier,Singapore–Europe,21,21.3,18,14500,8493,0.586
V01970,2023-02-06,Tuas,HMM,Bulk Carrier,Singapore–Europe,13,26.0,15,24000,13113,0.546
V01971,2023-02-06,Tuas,HMM,Bulk Carrier,Singapore–Korea,8,18.5,2,24000,7344,0.306
V01972,2023-02-06,Tuas,Maersk,General Cargo,Singapore–Middle East,4,32.4,12,8000,18229,1.0
V01973,2023-02-06,Brani,PIL,Bulk Carrier,Singapore–SE Asia,18,20.2,14,24000,5452,0.227
V01974,2023-02-06,Pasir Panjang T1-2,Maersk,RORO,Singapore–US East,1,15.3,16,12000,13210,1.0
V01975,2023-02-07,Tuas,Yang Ming,Tanker,Singapore–India,20,22.2,18,20000,7164,0.358
V01976,2023-02-07,Tuas,Hapag-Lloyd,Tanker,Singapore–Middle East,12,25.7,13,14500,7322,0.505
V01977,2023-02-07,Tanjong Pagar,Maersk,Container,Singapore–Korea,6,25.7,7,24000,8179,0.341
V01978,2023-02-07,Pasir Panjang T3-4,CMA CGM,Container,Singapore–India,17,37.2,6,8000,5502,0.688
V01979,2023-02-07,Pasir Panjang T1-2,PIL,Container,Singapore–Korea,12,37.5,1,14500,8509,0.587
V01980,2023-02-07,Pasir Panjang T1-2,Hapag-Lloyd,Bulk Carrier,Singapore–Korea,6,18.5,0,24000,13605,0.567
V01981,2023-02-07,Keppel,CMA CGM,Container,Singapore–India,6,15.2,21,20000,17034,0.852
V01982,2023-02-07,Pasir Panjang T3-4,HMM,Bulk Carrier,Singapore–China,6,36.1,18,8000,10218,1.0
V01983,2023-02-07,Keppel,PIL,Container,Singapore–US East,2,37.0,15,12000,12004,1.0
V01984,2023-02-07,Keppel,PIL,Container,Singapore–Korea,23,17.8,16,14500,5730,0.395
V01985,2023-02-07,Brani,HMM,Bulk Carrier,Singapore–US East,7,15.6,22,14500,17506,1.0
V01986,2023-02-07,Tanjong Pagar,CMA CGM,Container,Singapore–Europe,1,13.6,14,24000,12886,0.537
V01987,2023-02-07,Tuas,Evergreen,Bulk Carrier,Singapore–Japan,8,30.4,14,12000,9216,0.768
V01988,2023-02-07,Pasir Panjang T1-2,Yang Ming,Container,Singapore–India,5,24.0,5,24000,8562,0.357
V01989,2023-02-07,Tuas,HMM,Tanker,Singapore–Japan,18,33.8,3,12000,17268,1.0
V01990,2023-02-07,Pasir Panjang T3-4,Yang Ming,Container,Singapore–Korea,4,19.1,23,12000,16383,1.0
V01991,2023-02-07,Pasir Panjang T1-2,HMM,Bulk Carrier,Singapore–China,12,32.0,20,12000,9826,0.819
V01992,2023-02-07,Brani,CMA CGM,Container,Singapore–Japan,1,12.3,13,12000,20300,1.0
V01993,2023-02-07,Tanjong Pagar,CMA CGM,Bulk Carrier,Singapore–Korea,19,13.2,8,14500,11279,0.778
V01994,2023-02-07,Tanjong Pagar,PIL,Bulk Carrier,Singapore–China,22,27.2,1,14500,13251,0.914
V01995,2023-02-08,Pasir Panjang T1-2,HMM,Bulk Carrier,Singapore–US East,9,29.9,14,20000,8183,0.409
V01996,2023-02-08,Keppel,CMA CGM,General Cargo,Singapore–US East,22,34.6,8,24000,9756,0.406
V01997,2023-02-08,Tuas,PIL,Bulk Carrier,Singapore–India,20,19.9,15,24000,6419,0.267
V01998,2023-02-08,Tanjong Pagar,Hapag-Lloyd,Container,Singapore–Europe,7,29.6,12,12000,14506,1.0
V01999,2023-02-08,Pasir Panjang T1-2,CMA CGM,Container,Singapore–Middle East,10,30.5,16,20000,21358,1.0
V02000,2023-02-08,Tanjong Pagar,COSCO,Bulk Carrier,Singapore–Middle East,8,31.9,15,12000,12949,1.0
V02001,2023-02-08,Tanjong Pagar,PIL,Tanker,Singapore–Japan,23,27.0,2,12000,22963,1.0
V02002,2023-02-08,Brani,PIL,Container,Singapore–SE Asia,4,16.3,20,8000,13215,1.0
V02003,2023-02-08,Tanjong Pagar,COSCO,Container,Singapore–Middle East,22,22.9,20,14500,9951,0.686
V02004,2023-02-08,Keppel,MSC,Bulk Carrier,Singapore–Middle East,12,26.2,14,24000,8179,0.341
V02005,2023-02-08,Brani,PIL,Container,Singapore–Korea,2,37.3,15,14500,9678,0.667
V02006,2023-02-08,Brani,CMA CGM,Container,Singapore–China,16,21.3,13,24000,9290,0.387
V02007,2023-02-08,Keppel,COSCO,Container,Singapore–India,3,29.1,8,20000,11931,0.597
V02008,2023-02-08,Brani,ONE,Tanker,Singapore–Europe,19,36.9,7,12000,17616,1.0
V02009,2023-02-08,Tanjong Pagar,HMM,General Cargo,Singapore–China,8,20.9,4,24000,15933,0.664
V02010,2023-02-08,Pasir Panjang T1-2,HMM,Bulk Carrier,Singapore–Europe,13,13.1,2,14500,13169,0.908
V02011,2023-02-08,Tuas,Hapag-Lloyd,Container,Singapore–Japan,15,27.6,18,24000,17750,0.74
V02012,2023-02-08,Tuas,CMA CGM,Container,Singapore–Europe,6,17.1,23,8000,10430,1.0
V02013,2023-02-08,Pasir Panjang T1-2,Yang Ming,Container,Singapore–China,15,14.7,5,24000,7733,0.322
V02014,2023-02-08,Tuas,Yang Ming,Container,Singapore–Europe,7,17.8,0,20000,18135,0.907
V02015,2023-02-08,Tuas,HMM,Tanker,Singapore–India,8,28.3,12,24000,11078,0.462
V02016,2023-02-08,Brani,Maersk,General Cargo,Singapore–India,16,33.3,1,8000,17690,1.0
V02017,2023-02-08,Tuas,ONE,Container,Singapore–India,18,27.6,21,12000,20571,1.0
V02018,2023-02-08,Pasir Panjang T3-4,COSCO,RORO,Singapore–India,12,13.3,1,24000,13895,0.579
V02019,2023-02-08,Pasir Panjang T3-4,PIL,Container,Singapore–India,21,33.5,6,20000,10089,0.504
V02020,2023-02-08,Tuas,COSCO,Container,Singapore–Korea,7,28.4,11,12000,22711,1.0
V02021,2023-02-08,Brani,HMM,Tanker,Singapore–Middle East,0,18.2,18,8000,10445,1.0
V02022,2023-02-08,Pasir Panjang T1-2,MSC,Container,Singapore–Middle East,14,31.2,21,20000,5747,0.287
V02023,2023-02-08,Tanjong Pagar,COSCO,Container,Singapore–Japan,22,35.8,9,12000,10647,0.887
V02024,2023-02-08,Keppel,MSC,Container,Singapore–Japan,8,18.9,2,14500,19306,1.0
V02025,2023-02-08,Pasir Panjang T1-2,ONE,Bulk Carrier,Singapore–Korea,16,14.1,6,12000,12634,1.0
V02026,2023-02-08,Tanjong Pagar,COSCO,Container,Singapore–India,21,24.4,21,8000,7266,0.908
V02027,2023-02-08,Pasir Panjang T3-4,CMA CGM,Container,Singapore–US West,3,22.3,1,8000,12458,1.0
V02028,2023-02-08,Keppel,HMM,General Cargo,Singapore–Japan,7,16.5,23,8000,11235,1.0
V02029,2023-02-09,Tanjong Pagar,Maersk,RORO,Singapore–Japan,17,22.2,15,20000,6250,0.312
V02030,2023-02-09,Tuas,Evergreen,Container,Singapore–SE Asia,9,19.2,4,12000,13584,1.0
V02031,2023-02-09,Brani,ONE,RORO,Singapore–Europe,6,22.1,4,20000,6572,0.329
V02032,2023-02-09,Tanjong Pagar,PIL,Container,Singapore–SE Asia,16,26.2,18,24000,8349,0.348
V02033,2023-02-09,Keppel,Hapag-Lloyd,Container,Singapore–SE Asia,17,20.8,13,12000,5741,0.478
V02034,2023-02-09,Tanjong Pagar,MSC,Bulk Carrier,Singapore–Europe,14,36.8,2,14500,18994,1.0
V02035,2023-02-09,Pasir Panjang T3-4,MSC,Bulk Carrier,Singapore–SE Asia,6,19.2,1,14500,18066,1.0
V02036,2023-02-09,Tuas,HMM,Container,Singapore–Korea,8,16.8,0,8000,13154,1.0
V02037,2023-02-09,Tuas,PIL,Tanker,Singapore–Japan,21,19.8,16,14500,11023,0.76
V02038,2023-02-09,Pasir Panjang T1-2,MSC,RORO,Singapore–US West,15,14.1,5,14500,11333,0.782
V02039,2023-02-09,Brani,COSCO,Container,Singapore–India,14,36.6,2,8000,13180,1.0
V02040,2023-02-09,Pasir Panjang T1-2,MSC,Container,Singapore–Korea,18,12.9,6,12000,5472,0.456
V02041,2023-02-09,Keppel,Yang Ming,Tanker,Singapore–India,5,34.2,15,12000,15452,1.0
V02042,2023-02-09,Tuas,Yang Ming,Container,Singapore–Europe,4,26.0,6,12000,9953,0.829
V02043,2023-02-09,Pasir Panjang T1-2,Maersk,Bulk Carrier,Singapore–Korea,19,36.9,7,14500,17791,1.0
V02044,2023-02-09,Pasir Panjang T3-4,Yang Ming,Bulk Carrier,Singapore–SE Asia,7,14.5,21,20000,13373,0.669
